id,url,date,content,replyCount,retweetCount,likeCount,quoteCount
1499868006725345284,https://twitter.com/chipfranklin/status/1499868006725345284,2022-03-04 22:02:53+00:00,"If you stand with Ukraine, comment with 🇺🇦.  

I want to see how many of my followers are on the right side of history.",13603,2449,20105,896
1489393235655106562,https://twitter.com/benandjerrys/status/1489393235655106562,2022-02-04 00:19:53+00:00,"You cannot simultaneously prevent and prepare for war. 

We call on President Biden to de-escalate tensions and work for peace rather than prepare for war. 

Sending thousands more US troops to Europe in response to Russia’s threats against Ukraine only fans the flame of war.",11734,2134,14302,7455
1496996296678379522,https://twitter.com/WalshFreedom/status/1496996296678379522,2022-02-24 23:51:44+00:00,"Just a thought, but why doesn't NATO unanimously vote to make Ukraine a member of NATO right now? Like, I mean immediately. Like, tonight.",6151,7361,57057,1485
1496126935528845313,https://twitter.com/mikepompeo/status/1496126935528845313,2022-02-22 14:17:12+00:00,"For 4 years, the Left parroted the hoax that our Administration was weak on Russia. 

Yet, they didn’t dare invade Ukraine on our watch. But now they do. 

Who do you think Putin feared more?",5916,5351,25116,593
1498395610667536390,https://twitter.com/GovChristie/status/1498395610667536390,2022-02-28 20:32:07+00:00,How can anyone with any understanding of the world call Putin’s decision to invade Ukraine “genius” and “very savvy” as we watch him unite the rest of the world against Russia in nearly an instant?,5744,1806,14504,821
1498750864512716803,https://twitter.com/ua_parliament/status/1498750864512716803,2022-03-01 20:03:46+00:00,"Good night #Europe. While you sleep, our little Ukrainians stand guard over your dreams, becoming a human shield for the #EU in the face of russian aggression.
#StopPutin #StopRussianAggression #StandWithUkraine https://t.co/uWIRYmrZFH",5603,4473,8794,1498
1500054957654949890,https://twitter.com/avalaina/status/1500054957654949890,2022-03-05 10:25:46+00:00,"Andriy Piddubny: My colleague, Anastasiia Yalanskaya died yesterday. Nastya was shot dead by Russian troops while driving in Bucha. It was not an accidental shot, the civilian car was shot at point-blank range, there were 2 other people with it, who also died
#StandWithUkraine️ https://t.co/PyTvVOmB8v",5481,38267,130181,2743
1494384661522440198,https://twitter.com/nypost/status/1494384661522440198,2022-02-17 18:54:02+00:00,Harris flies to Europe to help secure Ukraine border as Biden stays behind https://t.co/hYusDC0Jl3 https://t.co/kqWbAVf8ew,4435,526,1550,1935
1498799232177872906,https://twitter.com/rsiren2/status/1498799232177872906,2022-03-01 23:15:57+00:00,"I am now finally a part of the Ukrainian foreign legion. From Finnish reservist Lt. to UA recruit. People from all over the world have come here to help to defend Ukraine. My bunkmates are Norwegian and American. There is still plenty of room for more!
#Ukraine #StandWithUkraine https://t.co/kYh46gH4Mv",4420,21801,137807,1663
1491787735610191872,https://twitter.com/trussliz/status/1491787735610191872,2022-02-10 14:54:46+00:00,"I delivered a clear message to Minister Lavrov that Russia must deescalate, respect Ukraine’s  sovereignty and engage in meaningful talks. 

If Russia is serious about not invading, we need to see troops withdraw. The military build-up is an undeniable threat to Ukraine. https://t.co/YdwdKQRlDz",4120,1040,5395,617
